iter	Passed	Remaining
0	376	1129984
1	667	1000467
2	867	866533
3	1068	800199
4	1281	767765
5	1511	754333
6	1714	733278
7	1902	711629
8	2134	709392
9	2321	694274
10	2522	685505
11	2743	683077
12	2937	674920
13	3075	655959
14	3268	650447
15	3487	650388
16	3736	655613
17	3923	650048
18	4130	648037
19	4360	649707
20	4637	657838
21	4864	658532
22	5079	657507
23	5315	659072
24	5556	661236
25	6217	711143
26	6472	712669
27	6699	711155
28	6920	708982
29	7213	714123
30	7528	721081
31	7732	717185
32	7929	712951
33	8140	710112
34	8350	707440
35	8623	710039
36	8826	706816
37	9025	703539
38	9257	702875
39	9440	698585
40	9648	696372
41	9870	695160
42	10053	691385
43	10244	688259
44	10511	690234
45	10812	694374
46	11037	693464
47	11227	690499
48	11471	690847
49	11764	694111
50	11991	693365
51	12191	691179
52	12478	693848
53	12836	700282
54	13066	699653
55	13319	700216
56	13539	699052
57	13736	696760
58	13964	696073
59	14167	694193
60	14378	692778
61	14637	693637
62	14847	692167
63	15083	691944
64	15287	690275
65	15667	696501
66	15902	696161
67	16149	696343
68	16331	693738
69	16585	694223
70	16810	693488
71	17126	696458
72	17406	697940
73	17614	696482
74	17854	696313
75	18099	696365
76	18299	694656
77	18484	692470
78	18686	690915
79	18909	690186
80	19101	688373
81	19293	686560
82	19488	684909
83	19705	684054
84	19913	682931
85	20204	684597
86	20394	682851
87	20632	682764
88	20808	680612
89	21028	679909
90	21206	677913
91	21418	677023
92	21602	675261
93	21840	675204
94	22019	673335
95	22219	672130
96	22702	679439
97	22965	680048
98	23155	678518
99	23359	677422
100	23553	676062
101	23744	674636
102	23933	673166
103	24152	672564
104	24341	671141
105	24625	672311
106	24852	671935
107	25108	672359
108	25311	671338
109	25540	671018
110	25735	669822
111	25917	668293
112	26143	667924
113	26351	667098
114	26560	666310
115	26775	665684
116	26958	664290
117	27215	664710
118	27427	664025
119	27747	665948
120	28057	667583
121	28291	667398
122	28521	667131
123	28710	665901
124	28886	664395
125	29075	663196
126	29409	665295
127	30144	676370
128	30425	677147
129	30720	678207
130	31001	678951
131	31231	678585
132	31557	680266
133	31819	680553
134	32090	681025
135	32353	681328
136	32717	683717
137	33214	688847
138	33968	699172
139	34236	699401
140	34822	706087
141	35428	713057
142	35979	718842
143	36811	730104
144	37316	734743
145	37526	733572
146	37717	732029
147	37954	731394
148	38199	730912
149	38377	729179
150	38565	727632
151	38764	726316
152	38964	725040
153	39177	724014
154	39374	722708
155	39661	723058
156	39955	723529
157	40144	722085
158	40373	721384
159	40597	720608
160	40804	719535
161	41024	718695
162	41219	717429
163	41439	716603
164	41633	715346
165	41847	714427
166	42096	714133
167	42288	712858
168	42550	712791
169	42748	711638
170	42928	710201
171	43158	709613
172	43348	708360
173	43590	707965
174	43783	706784
175	43988	705822
176	44208	705092
177	44415	704153
178	44642	703549
179	44852	702686
180	45089	702250
181	45315	701637
182	45706	703578
183	45899	702458
184	46095	701405
185	46282	700212
186	46481	699211
187	46681	698237
188	46868	697073
189	47081	696313
190	47303	695689
191	47517	694949
192	47708	693872
193	47910	692972
194	48109	692031
195	48307	691096
196	48498	690062
197	48684	688961
198	48883	688052
199	49084	687188
200	49278	686227
201	49532	686101
202	49727	685160
203	49942	684508
204	50149	683740
205	50349	682895
206	50549	682051
207	50764	681421
208	51063	681907
209	51286	681379
210	51478	680448
211	51726	680246
212	51907	679186
213	52177	679281
214	52399	678750
215	52659	678728
216	52878	678156
217	53127	677986
218	53358	677586
219	53559	676798
220	53805	676591
221	54102	677018
222	54320	676444
223	54507	675506
224	54690	674517
225	54916	674058
226	55105	673166
227	55322	672600
228	55522	671848
229	55749	671421
230	55956	670749
231	56233	670919
232	56606	672231
233	56857	672082
234	57057	671332
235	57287	670944
236	57502	670377
237	57888	671792
238	58071	670860
239	58329	670794
240	58516	669899
241	58960	671955
242	59431	674293
243	59667	673951
244	59851	673025
245	60064	672432
246	60263	671680
247	60550	671911
248	60833	672103
249	61294	674238
250	61653	675237
251	61942	675463
252	62261	676018
253	62548	676216
254	62803	676058
255	63036	675670
256	63228	674845
257	63423	674057
258	63742	674589
259	63979	674242
260	64242	674175
261	64525	674317
262	64762	673975
263	65001	673649
264	65218	673102
265	65410	672306
266	65606	671544
267	65881	671594
268	66131	671395
269	66352	670892
270	66584	670512
271	66820	670174
272	67084	670106
273	67284	669411
274	67751	671357
275	67984	670974
276	68361	672013
277	68664	672316
278	68880	671774
279	69094	671202
280	69270	670269
281	69492	669791
282	69726	669423
283	69961	669065
284	70212	668863
285	70416	668214
286	70593	667316
287	70898	667624
288	71130	667245
289	71327	666542
290	71613	666670
291	71861	666439
292	72193	666992
293	72441	666753
294	72685	666485
295	72883	665801
296	73214	666326
297	73520	666620
298	73780	666494
299	74006	666062
300	74241	665704
301	74457	665187
302	74724	665123
303	74929	664503
304	75140	663944
305	75342	663313
306	75642	663530
307	76039	664602
308	76269	664206
309	76554	664292
310	76793	663976
311	77070	663993
312	77310	663685
313	77530	663206
314	77765	662858
315	78042	662863
316	78253	662313
317	78465	661772
318	78682	661282
319	78940	661122
320	79193	660932
321	79417	660493
322	79616	659853
323	79829	659332
324	80091	659215
325	80409	659551
326	80611	658945
327	80811	658321
328	81010	657683
329	81202	656999
330	81440	656689
331	81676	656360
332	81910	656022
333	82138	655635
334	82344	655070
335	82634	655176
336	82870	654852
337	83109	654552
338	83314	653978
339	83504	653299
340	83713	652769
341	83914	652177
342	84121	651631
343	84641	653511
344	85250	656061
345	85506	655877
346	85707	655277
347	85906	654666
348	86099	654012
349	86296	653386
350	86489	652739
351	86681	652079
352	86876	651450
353	87107	651088
354	87349	650814
355	87620	650751
356	87819	650158
357	88057	649854
358	88249	649213
359	88502	649016
360	88736	648686
361	88920	647986
362	89131	647493
363	89324	646868
364	89553	646501
365	89824	646443
366	90074	646231
367	90280	645704
368	90584	645876
369	90852	645786
370	91036	645104
371	91228	644488
372	91473	644240
373	91677	643701
374	92013	644092
375	92219	643575
376	92406	642921
377	92639	642596
378	93012	643232
379	93274	643103
380	93474	642546
381	93709	642227
382	93913	641698
383	94100	641056
384	94385	641088
385	94582	640515
386	94799	640080
387	95030	639739
388	95227	639175
389	95456	638826
390	95680	638441
391	95921	638173
392	96215	638252
393	96464	638039
394	96730	637930
395	96953	637545
396	97129	636844
397	97335	636348
398	97519	635710
399	97712	635132
400	98081	635692
401	98286	635193
402	98483	634644
403	98684	634119
404	98927	633866
405	99124	633320
406	99318	632760
407	99515	632218
408	99723	631747
409	99916	631178
410	100120	630684
411	100321	630174
412	100507	629572
413	100692	628962
414	100872	628324
415	101067	627786
416	101333	627684
417	101589	627521
418	101817	627187
419	102036	626796
420	102330	626866
421	102545	626452
422	102794	626241
423	103032	625972
424	103274	625719
425	103562	625751
426	103830	625658
427	104760	629540
428	105331	631251
429	105892	632890
430	106507	634841
431	107032	636246
432	107556	637639
433	107867	637759
434	108599	640360
435	109020	641122
436	109419	641743
437	109651	641386
438	109938	641350
439	110251	641463
440	110532	641390
441	110786	641156
442	111053	641001
443	111324	640868
444	111591	640712
445	111881	640686
446	112221	640943
447	112597	641406
448	112813	640952
449	113044	640588
450	113344	640607
451	113616	640474
452	113862	640195
453	114163	640222
454	114701	641572
455	114931	641195
456	115167	640855
