iter	Passed	Remaining
0	103	310994
1	241	362655
2	370	369911
3	533	399685
4	722	432797
5	822	410233
6	959	410056
7	1127	421851
8	1226	407752
9	1341	401055
10	1445	392722
11	1589	395832
12	1710	393070
13	1833	391056
14	1940	386078
15	2041	380781
16	2136	374832
17	2217	367331
18	2308	362133
19	2419	360478
20	2507	355711
21	2613	353814
22	2858	370039
23	3086	382715
24	3220	383223
25	3387	387523
26	3543	390134
27	3846	408316
28	3970	406803
29	4128	408685
30	4396	421115
31	4553	422362
32	4733	425575
33	4850	423092
34	4968	420880
35	5087	418907
36	5227	418645
37	5385	419746
38	5504	417884
39	5591	413796
40	5684	410253
41	5785	407457
42	5896	405479
43	6017	404242
44	6112	401401
45	6226	399832
46	6317	396925
47	6427	395271
48	6532	393393
49	6625	390894
50	6746	390112
51	6842	387903
52	6944	386127
53	7045	384360
54	7147	382710
55	7245	380923
56	7335	378762
57	7423	376528
58	7516	374684
59	7644	374587
60	7735	372713
61	7823	370751
62	7912	368883
63	7992	366637
64	8080	364876
65	8162	362868
66	8247	361025
67	8327	359059
68	8408	357170
69	8489	355328
70	8572	353651
71	8678	352937
72	8775	351850
73	8861	350393
74	8957	349335
75	9046	348051
76	9147	347234
77	9231	345817
78	9317	344528
79	9408	343396
80	9493	342107
81	9579	340896
82	9681	340245
83	9770	339164
84	9885	339027
85	10007	339104
86	10101	338214
87	10208	337796
88	10293	336689
89	10385	335802
90	10469	334684
91	10574	334233
92	10675	333694
93	10773	333075
94	10871	332437
95	11009	333040
96	11111	332530
97	11210	331958
98	11346	332497
99	11455	332201
100	11560	331824
101	11677	331789
102	11811	332200
103	11915	331799
104	12006	331035
105	12099	330336
106	12241	330988
107	12409	332311
108	12527	332255
109	12641	332115
110	12739	331567
111	12919	333144
112	13060	333685
113	13172	333478
114	13285	333283
115	13407	333350
116	13494	332508
117	13606	332313
118	13718	332115
119	13806	331364
120	14009	333329
121	14145	333691
122	14247	333252
123	14331	332408
124	14419	331656
125	14526	331337
126	14747	333619
127	14950	335446
128	15054	335050
129	15137	334187
130	15212	333170
131	15289	332207
132	15364	331208
133	15435	330126
134	15519	329349
135	15630	329150
136	15712	328365
137	15791	327500
138	15870	326655
139	15939	325621
140	16010	324646
141	16096	323974
142	16165	322962
143	16243	322159
144	16315	321252
145	16392	320439
146	16464	319546
147	16535	318646
148	16618	317983
149	16686	317043
150	16762	316259
151	16874	316166
152	17030	316902
153	17142	316808
154	17245	316537
155	17343	316188
156	17438	315789
157	17512	315009
158	17580	314135
159	17660	313465
160	17729	312627
161	17817	312133
162	17938	312225
163	18054	312204
164	18155	311939
165	18253	311635
166	18335	311047
167	18431	310706
168	18563	310971
169	18649	310453
170	18928	313146
171	19098	314011
172	19242	314446
173	19410	315252
174	19528	315246
175	19621	314843
176	19729	314664
177	19895	315417
178	20041	315849
179	20212	316662
180	20389	317561
181	20544	318107
182	20670	318197
183	20814	318544
184	20941	318648
185	21075	318845
186	21181	318626
187	21307	318711
188	21461	319195
189	21781	322139
190	22096	324968
191	22488	328898
192	22860	332481
193	23347	337694
194	23762	341815
195	24094	344705
196	24262	345217
197	24378	344997
198	24523	345174
199	24640	344963
200	24744	344582
201	24832	343973
202	24942	343672
203	25049	343327
204	25145	342838
205	25242	342365
206	25341	341922
207	25443	341528
208	25574	341528
209	25693	341350
210	25789	340887
211	25883	340397
212	25990	340077
213	26093	339708
214	26206	339459
215	26338	339470
216	26443	339135
217	26540	338698
218	26656	338502
219	26758	338131
220	26856	337714
221	26950	337246
222	27192	338621
223	27277	338040
224	27374	337623
225	27467	337151
226	27562	336703
227	27655	336230
228	27740	335667
229	27868	335635
230	27985	335467
231	28078	335011
232	28159	334407
233	28250	333929
234	28335	333389
235	28418	332837
236	28518	332470
237	28612	332043
238	28704	331598
239	28790	331089
240	28872	330536
241	28957	330024
242	29037	329449
243	29123	328954
244	29191	328252
245	29267	327654
246	29393	327609
247	29484	327184
248	29598	327010
249	29751	327265
250	29888	327343
251	29991	327054
252	30082	326621
253	30280	327362
254	30371	326940
255	30469	326590
256	30540	325963
257	30612	325352
258	30691	324808
259	30767	324244
260	30885	324115
261	30981	323771
262	31057	323213
263	31133	322655
264	31222	322237
265	31299	321700
266	31382	321229
267	31469	320802
268	31557	320381
269	31630	319817
270	31704	319268
271	31886	319806
272	32163	321279
273	32621	324544
274	32913	326139
275	33262	328289
276	33659	330884
277	33797	330925
278	33909	330706
279	34063	330901
280	34149	330439
281	34255	330168
282	34336	329658
283	34418	329153
284	34507	328731
285	34678	329083
286	34959	330466
287	35344	332828
288	35714	335021
289	36146	337785
290	36498	339774
291	36649	339888
292	36784	339849
293	36902	339652
294	37037	339619
295	37115	339057
296	37201	338572
297	37288	338097
298	37373	337614
299	37464	337181
300	37550	336704
301	37630	336186
302	37714	335693
303	37799	335217
304	37877	334687
305	37956	334163
306	38036	333657
307	38123	333212
308	38200	332675
309	38285	332215
310	38356	331640
311	38435	331134
312	38511	330607
313	38588	330095
314	38665	329577
315	38742	329069
316	38818	328547
317	38930	328340
318	39084	328479
319	39199	328297
320	39282	327845
321	39364	327388
322	39458	327028
323	39550	326655
324	39639	326266
325	39729	325879
326	39804	325375
327	39885	324920
328	39961	324425
329	40046	324014
330	40118	323492
331	40199	323052
332	40270	322528
333	40348	322065
334	40424	321587
335	40506	321162
336	40720	321776
337	40808	321393
338	40878	320881
339	40960	320457
340	41032	319956
341	41108	319490
342	41220	319306
343	41357	319318
344	41444	318942
345	41522	318499
346	41598	318040
347	41678	317620
348	41778	317345
349	41895	317209
350	41997	316955
351	42158	317145
352	42304	317226
353	42395	316892
354	42491	316588
355	42616	316509
356	42719	316266
357	42805	315901
358	42881	315459
359	42958	315028
360	43027	314544
361	43103	314109
362	43185	313718
363	43257	313256
364	43345	312917
365	43443	312653
366	43600	312807
367	43725	312733
368	43828	312500
369	43913	312142
370	44000	311795
371	44085	311439
372	44179	311151
373	44273	310862
374	44360	310521
375	44446	310181
376	44527	309804
377	44642	309664
378	44724	309293
379	44809	308952
380	44902	308658
381	44979	308264
382	45073	307982
383	45155	307618
384	45238	307266
385	45323	306930
386	45408	306592
387	45492	306252
388	45579	305933
389	45658	305562
390	45749	305266
391	45912	305460
392	46038	305399
393	46129	305111
394	46221	304830
395	46305	304490
396	46389	304159
397	46474	303838
398	46573	303605
399	46659	303288
400	46746	302980
401	46836	302688
402	46910	302297
403	47002	302026
404	47098	301777
405	47185	301475
406	47298	301336
407	47420	301259
408	47533	301122
409	47671	301146
410	47822	301245
411	47969	301320
412	48088	301223
413	48239	301319
414	48421	301612
415	48549	301564
416	48632	301240
417	48708	300877
418	48796	300580
419	48872	300217
420	48946	299840
421	49029	299523
422	49103	299149
423	49204	298940
424	49279	298575
425	49365	298276
426	49444	297939
427	49517	297568
428	49599	297248
429	49672	296880
430	49749	296534
431	49829	296208
432	49907	295872
433	49985	295533
434	50060	295183
435	50135	294835
436	50213	294501
437	50293	294182
438	50380	293907
439	50480	293707
440	50578	293490
441	50672	293261
442	50777	293089
443	50861	292794
444	50944	292503
445	51012	292123
446	51092	291811
447	51164	291454
448	51241	291130
449	51316	290791
450	51401	290516
451	51474	290169
452	51544	289809
453	51624	289509
454	51703	289200
455	51780	288881
456	51859	288574
457	51937	288263
458	52007	287909
459	52076	287554
460	52150	287225
461	52229	286924
462	52298	286566
463	52374	286255
464	52450	285937
465	52529	285644
466	52599	285300
467	52682	285025
468	52973	285877
469	53125	285975
470	53242	285879
471	53380	285901
472	53565	286172
473	53669	286012
474	53779	285880
475	53891	285762
476	54035	285810
477	54137	285636
478	54215	285336
479	54315	285155
480	54402	284905
481	54502	284724
482	54600	284530
483	54691	284305
484	54780	284069
485	54874	283857
486	54960	283604
487	55059	283423
488	55153	283210
489	55294	283242
490	55444	283322
491	55542	283131
492	55638	282929
493	55733	282731
494	55819	282482
495	55911	282264
496	55998	282020
497	56085	281779
498	56174	281547
499	56267	281336
500	56350	281077
501	56453	280916
502	56545	280706
503	56643	280522
504	56733	280296
505	56814	280028
506	56900	279788
507	56987	279554
508	57069	279294
509	57163	279093
510	57255	278881
511	57336	278617
512	57422	278382
513	57519	278198
514	57697	278405
515	57815	278321
516	57908	278117
517	58022	278017
518	58123	277850
519	58225	277689
520	58323	277512
521	58404	277252
522	58482	276980
523	58588	276839
524	58687	276669
525	58791	276519
526	58891	276354
527	58989	276177
528	59089	276009
529	59196	275879
530	59304	275751
531	59404	275585
532	59500	275397
533	59614	275296
534	59707	275101
535	59786	274840
536	59875	274623
537	60017	274654
538	60117	274490
539	60202	274256
540	60276	273973
541	60363	273752
542	60436	273467
543	60507	273175
544	60585	272912
545	60665	272663
546	60740	272390
547	60816	272120
548	60897	271875
549	60979	271634
550	61053	271360
551	61134	271119
552	61202	270816
553	61282	270570
554	61357	270305
555	61434	270046
556	61517	269816
557	61593	269554
558	61669	269293
559	61741	269015
560	61812	268735
561	61884	268458
562	61963	268215
563	62036	267945
564	62111	267685
565	62215	267546
566	62342	267512
567	62426	267290
568	62506	267055
569	62580	266789
570	62658	266546
571	62739	266313
572	62816	266065
573	62888	265796
574	62964	265546
575	63042	265305
576	63113	265034
577	63188	264778
578	63262	264524
579	63342	264290
580	63415	264030
581	63519	263901
582	63610	263718
583	63695	263508
584	63779	263295
585	63879	263149
586	63959	262921
587	64085	262882
588	64216	262863
589	64329	262769
590	64452	262715
591	64657	262996
592	64829	263143
593	64955	263103
594	65220	263620
595	65387	263745
596	65561	263892
597	65675	263798
598	65758	263584
599	65855	263421
600	65937	263199
601	66023	262997
602	66109	262793
603	66202	262617
604	66288	262415
605	66378	262229
606	66471	262051
607	66553	261834
608	66636	261622
609	66723	261425
610	66807	261217
611	66937	261188
612	67086	261232
613	67176	261047
614	67272	260885
615	67357	260683
616	67468	260581
617	67544	260343
618	67640	260180
619	67725	259979
620	67813	259786
621	67910	259633
622	68008	259481
623	68099	259301
624	68188	259118
625	68276	258926
626	68357	258713
627	68455	258560
628	68534	258340
